,prod_id,path,content_id,sub_path
1011,STARS-123,X:\JAV\STARS-123.mp4,1stars00123,
1012,STARS-149,X:\JAV\STARS-149.mp4,1stars00149,
1013,STARS-164,X:\JAV\STARS-164.mkv,1stars00164,X:\JAV\STARS-164.srt
1014,STARS-168,X:\JAV\STARS-168.mp4,1stars00168,
1015,STARS-176,X:\JAV\STARS-176.mp4,1stars00176,
1016,STARS-198,X:\JAV\STARS-198.mp4,1stars00198,X:\JAV\STARS-198.srt
1017,STARS-221,X:\JAV\STARS-221.mp4,1stars00221,
1018,STARS-251,X:\JAV\STARS-251.mp4,1stars00251,
1019,STARS-263,X:\JAV\STARS-263.mp4,1stars00263,X:\JAV\STARS-263.srt
1020,STARS-307,X:\JAV\STARS-307.mp4,1stars00307,
1021,STARS-308,X:\JAV\STARS-308.mp4,1stars00308,
1022,STARS-435,X:\JAV\STARS-435.mp4,,
1023,SUJI-067,X:\JAV\SUJI-067.mp4,suji00067,
1024,SUPD-135,X:\JAV\SUPD-135.wmv,supd00135,
1025,SVDVD-497,X:\JAV\SVDVD-497.avi,1svdvd00497,
1026,SWEET-015,X:\JAV\Sweet-015.mp4,,
1027,T28-464,X:\JAV\T28-464.mkv,55t2800464,
1028,T28-513,X:\JAV\T28-513.mp4,55t2800513,
1029,T28-558,X:\JAV\T28-558.mp4,55t2800558,
1030,T28-562,X:\JAV\T28-562.mp4,55t2800562,
1031,TCM-008,X:\JAV\TCM-008.mp4,5tcm00008,
1032,TEAM-044,X:\JAV\TEAM-044.avi,team00044,
1033,TEAM-059,X:\JAV\TEAM-059.mkv,team00059,
1034,TEAM-102,X:\JAV\TEAM-102.mp4,team00102,
1035,TEK-067,X:\JAV\TEK-067.mkv,tek00067,
1036,TEK-071,X:\JAV\TEK-071.mkv,tek00071,X:\JAV\TEK-071.smi
1037,TEK-072,X:\JAV\TEK-072.mp4,tek00072,X:\JAV\TEK-072.srt
1038,TEK-073,X:\JAV\TEK-073.mp4,tek00073,X:\JAV\TEK-073.smi
1039,TEK-076,X:\JAV\TEK-076.mkv,tek00076,X:\JAV\TEK-076.smi
1040,TEK-077,X:\JAV\TEK-077.avi,tek00077,X:\JAV\TEK-077.smi
1041,TEK-079,X:\JAV\TEK-079.mkv,tek00079,
1042,TEK-089,X:\JAV\TEK-089.mp4,tek00089,
1043,TEK-096,X:\JAV\TEK-096.mp4,tek00096,X:\JAV\TEK-096.srt
1044,TEK-097,X:\JAV\TEK-097.mp4,tek00097,
1045,TIGER EYES 性奴志願 遠藤梨奈 JAPANESE DOLL 7 N15 FREE ASIAN PORN VIDEO 33,X:\JAV\Tiger Eyes 性奴志願 遠藤梨奈 Japanese Doll 7 N15 Free Asian Porn Video 33.mp4,,
1046,TIKB-019,X:\JAV\TIKB-019.mkv,tikb00019,
1047,TIKB-087,X:\JAV\TIKB-087.mp4,tikb00087,
1048,TKI-057,X:\JAV\TKI-057.mp4,,
1049,TMDI-072,X:\JAV\TMDI-072.avi,,
1050,TMHP-077,X:\JAV\TMHP-077.mkv,,
1051,TPPN-046,X:\JAV\TPPN-046.mkv,tppn00046,
1052,TPPN-062,X:\JAV\TPPN-062.mkv,tppn00062,
1053,TYOD-340,X:\JAV\TYOD-340.mp4,tyod00340,
1054,TYOD-341,X:\JAV\TYOD-341.mp4,tyod00341,
1055,URE-031,X:\JAV\URE-031.mp4,ure00031,X:\JAV\URE-031.srt
